condition,pair_id,component_id,system_id,component_idx,scale,rewrite_id,eligibility_layer,partition_scope,outcome_category,construction_incomplete,is_fully_diagnostic,failure_reason,rescale_incomplete,formula_metrics_valid,q4_construction_completed,q4_emitted_infix,q4_sympy_expr_canonical,q4_construction_failure_reason,e2_identity_fallback_candidate,e1_oracle_completed,e1_oracle_equivalent,e1_analytic_equivalent,e1_numeric_equivalent,e1_oracle_failure_reason,e2_oracle_completed,e2_oracle_equivalent,e2_analytic_equivalent,e2_numeric_equivalent,e2_oracle_failure_reason,e0_status,e1_status,e2_status,e0_prefix_raw,e1_prefix_raw,e2_prefix_raw,e0_infix,e1_infix,e2_infix,e2_infix_pre_classifier,classifier_parse_valid,classifier_parse_failure_reason,hill_form,canonical_exact,exponent_aware_skeleton_exact,original_vs_q4_numeric_max_abs_error,quantization_stratum,control_pass_row
B1,pair_sha256:b3db44e85d47a9839ecb6793b6673bc258471e6fbce45f10f955c33a337bf171,component_sha256:9c74179cb95b9c59c1172cee61c7c7c0c5547aacb8647faf7c30cfd2823e7fba,R01_train_d61001_000,0,identity,identity,strict_hill_primary,control,control_pass,false,true,,false,true,true,((0.0460)+(((-0.8487)*(x_0))+((2.4370)*((x_0)*(((0.4416)+((1.00000000000000)*(x_0)))**(-1)))))),-0.8487*x_0 + 2.437*x_0/(1.0*x_0 + 0.4416) + 0.046,,false,true,true,true,true,,true,true,true,true,,completed,completed,completed,"mul,mul,1.0,pow,1.0,-1,add,0.04598,add,mul,mul,2.437,div,x_0,1.0,inv,add,0.4416,div,x_0,1.0,mul,-1,mul,0.8487,div,x_0,1.0","mul,1.0,mul,1.0,mul,mul,1.0,pow,1.0,-1,add,0.04598,add,mul,mul,2.437,div,mul,1.0,x_0,1.0,inv,add,0.4416,div,mul,1.0,x_0,1.0,mul,-1,mul,0.8487,div,mul,1.0,x_0,1.0","add,0.0460,add,mul,-0.8487,x_0,mul,2.4370,mul,x_0,pow,add,0.4416,mul,1.00000000000000,x_0,-1",1.0 * (1.0)**-1 * (0.04598 + 2.437 * x_0 / 1.0 * 1/(0.4416 + x_0 / 1.0) + -1 * 0.8487 * x_0 / 1.0),1.0 * 1.0 * 1.0 * (1.0)**-1 * (0.04598 + 2.437 * 1.0 * x_0 / 1.0 * 1/(0.4416 + 1.0 * x_0 / 1.0) + -1 * 0.8487 * 1.0 * x_0 / 1.0),0.0460 + -0.8487 * x_0 + 2.4370 * x_0 * (0.4416 + 1.00000000000000 * x_0)**-1,0.0460 + -0.8487 * x_0 + 2.4370 * x_0 * (0.4416 + 1.00000000000000 * x_0)**-1,true,,true,0.0,1.0,2.0000000000131024e-05,quantization_active,true
B1,pair_sha256:3b6f9329e378c3e4335e5c3907648b2d9b1f701cab2fac95bc093944ae3fcd32,component_sha256:40d04b01e7906d32d19b82edd08aa4a4ce16ea920f781efaeedf4d54d9d0d30f,R01_train_d61001_001,0,identity,identity,strict_hill_primary,control,control_pass,false,true,,false,true,true,((0.1806)+(((-0.6325)*(x_0))+((2.4620)*(((x_0)**(2))*(((0.8572)+((1.00000000000000)*((x_0)**(2))))**(-1)))))),2.462*x_0**2/(1.0*x_0**2 + 0.8572) - 0.6325*x_0 + 0.1806,,false,true,true,true,true,,true,true,true,true,,completed,completed,completed,"mul,mul,1.0,pow,1.0,-1,add,0.1806,add,mul,mul,2.462,pow2,div,x_0,1.0,inv,add,0.8572,pow2,div,x_0,1.0,mul,-1,mul,0.6325,div,x_0,1.0","mul,1.0,mul,1.0,mul,mul,1.0,pow,1.0,-1,add,0.1806,add,mul,mul,2.462,pow2,div,mul,1.0,x_0,1.0,inv,add,0.8572,pow2,div,mul,1.0,x_0,1.0,mul,-1,mul,0.6325,div,mul,1.0,x_0,1.0","add,0.1806,add,mul,-0.6325,x_0,mul,2.4620,mul,pow,x_0,2,pow,add,0.8572,mul,1.00000000000000,pow,x_0,2,-1",1.0 * (1.0)**-1 * (0.1806 + 2.462 * (x_0 / 1.0)**2 * 1/(0.8572 + (x_0 / 1.0)**2) + -1 * 0.6325 * x_0 / 1.0),1.0 * 1.0 * 1.0 * (1.0)**-1 * (0.1806 + 2.462 * (1.0 * x_0 / 1.0)**2 * 1/(0.8572 + (1.0 * x_0 / 1.0)**2) + -1 * 0.6325 * 1.0 * x_0 / 1.0),0.1806 + -0.6325 * x_0 + 2.4620 * (x_0)**2 * (0.8572 + 1.00000000000000 * (x_0)**2)**-1,0.1806 + -0.6325 * x_0 + 2.4620 * (x_0)**2 * (0.8572 + 1.00000000000000 * (x_0)**2)**-1,true,,true,1.0,1.0,0.0,quantization_neutral,true
B1,pair_sha256:dbde186234149e87629f6101d3c88d577bf6ba2687bee3a18fed4c3534b952da,component_sha256:936e8f1497bff8b07c5afec71c00e86e2d1f4b28576c3edf7438591bb1463f9f,R01_train_d61001_002,0,identity,identity,strict_hill_primary,control,control_pass,false,true,,false,true,true,((0.0843)+(((-0.7872)*(x_0))+((0.8251)*(((x_0)**(4))*(((0.5285)+((1.00000000000000)*((x_0)**(4))))**(-1)))))),0.8251*x_0**4/(1.0*x_0**4 + 0.5285) - 0.7872*x_0 + 0.0843,,false,true,true,true,true,,true,true,true,true,,completed,completed,completed,"mul,mul,1.0,pow,1.0,-1,add,0.08427,add,mul,mul,0.8251,pow2,pow2,div,x_0,1.0,inv,add,0.5285,pow2,pow2,div,x_0,1.0,mul,-1,mul,0.7872,div,x_0,1.0","mul,1.0,mul,1.0,mul,mul,1.0,pow,1.0,-1,add,0.08427,add,mul,mul,0.8251,pow2,pow2,div,mul,1.0,x_0,1.0,inv,add,0.5285,pow2,pow2,div,mul,1.0,x_0,1.0,mul,-1,mul,0.7872,div,mul,1.0,x_0,1.0","add,0.0843,add,mul,-0.7872,x_0,mul,0.8251,mul,pow,x_0,4,pow,add,0.5285,mul,1.00000000000000,pow,x_0,4,-1",1.0 * (1.0)**-1 * (0.08427 + 0.8251 * ((x_0 / 1.0)**2)**2 * 1/(0.5285 + ((x_0 / 1.0)**2)**2) + -1 * 0.7872 * x_0 / 1.0),1.0 * 1.0 * 1.0 * (1.0)**-1 * (0.08427 + 0.8251 * ((1.0 * x_0 / 1.0)**2)**2 * 1/(0.5285 + ((1.0 * x_0 / 1.0)**2)**2) + -1 * 0.7872 * 1.0 * x_0 / 1.0),0.0843 + -0.7872 * x_0 + 0.8251 * (x_0)**4 * (0.5285 + 1.00000000000000 * (x_0)**4)**-1,0.0843 + -0.7872 * x_0 + 0.8251 * (x_0)**4 * (0.5285 + 1.00000000000000 * (x_0)**4)**-1,true,,true,0.0,1.0,3.0000000000085514e-05,quantization_active,true
B1,pair_sha256:1ed299aba47505e26a3efcba1d5b9c6d1b5ac971470fed7a73af7a129c0f3370,component_sha256:cf6b580e71ce901c5e85461391acad80b1a0a4db68cc9b54c26e1a911e0e43b9,R01_train_d61001_003,0,identity,identity,strict_hill_primary,control,control_pass,false,true,,false,true,true,((0.0430)+(((-0.4305)*(x_0))+((1.3300)*((x_0)*(((1.1130)+((1.00000000000000)*(x_0)))**(-1)))))),-0.4305*x_0 + 1.33*x_0/(1.0*x_0 + 1.113) + 0.043,,false,true,true,true,true,,true,true,true,true,,completed,completed,completed,"mul,mul,1.0,pow,1.0,-1,add,0.04301,add,mul,mul,1.33,div,x_0,1.0,inv,add,1.113,div,x_0,1.0,mul,-1,mul,0.4305,div,x_0,1.0","mul,1.0,mul,1.0,mul,mul,1.0,pow,1.0,-1,add,0.04301,add,mul,mul,1.33,div,mul,1.0,x_0,1.0,inv,add,1.113,div,mul,1.0,x_0,1.0,mul,-1,mul,0.4305,div,mul,1.0,x_0,1.0","add,0.0430,add,mul,-0.4305,x_0,mul,1.3300,mul,x_0,pow,add,1.1130,mul,1.00000000000000,x_0,-1",1.0 * (1.0)**-1 * (0.04301 + 1.33 * x_0 / 1.0 * 1/(1.113 + x_0 / 1.0) + -1 * 0.4305 * x_0 / 1.0),1.0 * 1.0 * 1.0 * (1.0)**-1 * (0.04301 + 1.33 * 1.0 * x_0 / 1.0 * 1/(1.113 + 1.0 * x_0 / 1.0) + -1 * 0.4305 * 1.0 * x_0 / 1.0),0.0430 + -0.4305 * x_0 + 1.3300 * x_0 * (1.1130 + 1.00000000000000 * x_0)**-1,0.0430 + -0.4305 * x_0 + 1.3300 * x_0 * (1.1130 + 1.00000000000000 * x_0)**-1,true,,true,0.0,1.0,1.0000000000010001e-05,quantization_active,true
B1,pair_sha256:f42259da8ed46a6769576095432ee56e54c452c2db48ce4a21524faeb03345d7,component_sha256:9021df4798282189374df26804570aa8248caefa78c4957c20ff49143f7cb35a,R01_train_d61001_004,0,identity,identity,strict_hill_primary,control,control_pass,false,true,,false,true,true,((0.0887)+(((-0.7584)*(x_0))+((1.4210)*(((x_0)**(2))*(((0.2147)+((1.00000000000000)*((x_0)**(2))))**(-1)))))),1.421*x_0**2/(1.0*x_0**2 + 0.2147) - 0.7584*x_0 + 0.0887,,false,true,true,true,true,,true,true,true,true,,completed,completed,completed,"mul,mul,1.0,pow,1.0,-1,add,0.08866,add,mul,mul,1.421,pow2,div,x_0,1.0,inv,add,0.2147,pow2,div,x_0,1.0,mul,-1,mul,0.7584,div,x_0,1.0","mul,1.0,mul,1.0,mul,mul,1.0,pow,1.0,-1,add,0.08866,add,mul,mul,1.421,pow2,div,mul,1.0,x_0,1.0,inv,add,0.2147,pow2,div,mul,1.0,x_0,1.0,mul,-1,mul,0.7584,div,mul,1.0,x_0,1.0","add,0.0887,add,mul,-0.7584,x_0,mul,1.4210,mul,pow,x_0,2,pow,add,0.2147,mul,1.00000000000000,pow,x_0,2,-1",1.0 * (1.0)**-1 * (0.08866 + 1.421 * (x_0 / 1.0)**2 * 1/(0.2147 + (x_0 / 1.0)**2) + -1 * 0.7584 * x_0 / 1.0),1.0 * 1.0 * 1.0 * (1.0)**-1 * (0.08866 + 1.421 * (1.0 * x_0 / 1.0)**2 * 1/(0.2147 + (1.0 * x_0 / 1.0)**2) + -1 * 0.7584 * 1.0 * x_0 / 1.0),0.0887 + -0.7584 * x_0 + 1.4210 * (x_0)**2 * (0.2147 + 1.00000000000000 * (x_0)**2)**-1,0.0887 + -0.7584 * x_0 + 1.4210 * (x_0)**2 * (0.2147 + 1.00000000000000 * (x_0)**2)**-1,true,,true,0.0,1.0,4.0000000000040004e-05,quantization_active,true
B1,pair_sha256:05c1583a618da2ec5797b47cbb3fa856d4d1363be799b1cfcda452237a4cd9ec,component_sha256:be02670fc597b9f2a7d2458e3d52cb3c670b7aa1cc67b543be00c1ef36b4cf73,R01_train_d61001_005,0,identity,identity,strict_hill_primary,control,control_pass,false,true,,false,true,true,((0.1543)+(((-0.8607)*(x_0))+((1.7570)*(((x_0)**(4))*(((2.8530)+((1.00000000000000)*((x_0)**(4))))**(-1)))))),1.757*x_0**4/(1.0*x_0**4 + 2.853) - 0.8607*x_0 + 0.1543,,false,true,true,true,true,,true,true,true,true,,completed,completed,completed,"mul,mul,1.0,pow,1.0,-1,add,0.1543,add,mul,mul,1.757,pow2,pow2,div,x_0,1.0,inv,add,2.853,pow2,pow2,div,x_0,1.0,mul,-1,mul,0.8607,div,x_0,1.0","mul,1.0,mul,1.0,mul,mul,1.0,pow,1.0,-1,add,0.1543,add,mul,mul,1.757,pow2,pow2,div,mul,1.0,x_0,1.0,inv,add,2.853,pow2,pow2,div,mul,1.0,x_0,1.0,mul,-1,mul,0.8607,div,mul,1.0,x_0,1.0","add,0.1543,add,mul,-0.8607,x_0,mul,1.7570,mul,pow,x_0,4,pow,add,2.8530,mul,1.00000000000000,pow,x_0,4,-1",1.0 * (1.0)**-1 * (0.1543 + 1.757 * ((x_0 / 1.0)**2)**2 * 1/(2.853 + ((x_0 / 1.0)**2)**2) + -1 * 0.8607 * x_0 / 1.0),1.0 * 1.0 * 1.0 * (1.0)**-1 * (0.1543 + 1.757 * ((1.0 * x_0 / 1.0)**2)**2 * 1/(2.853 + ((1.0 * x_0 / 1.0)**2)**2) + -1 * 0.8607 * 1.0 * x_0 / 1.0),0.1543 + -0.8607 * x_0 + 1.7570 * (x_0)**4 * (2.8530 + 1.00000000000000 * (x_0)**4)**-1,0.1543 + -0.8607 * x_0 + 1.7570 * (x_0)**4 * (2.8530 + 1.00000000000000 * (x_0)**4)**-1,true,,true,1.0,1.0,0.0,quantization_neutral,true
B1,pair_sha256:5414a3312753c77c1edaaa8daceec2b86b158445bcf6011e56f2d2013e79eeae,component_sha256:a27c001f6fc5d8f8d29a1381168f8064b1a483c7c966ed51a9774a3f8afec281,R01_train_d61001_006,0,identity,identity,strict_hill_primary,control,control_pass,false,true,,false,true,true,((0.1884)+(((-0.8237)*(x_0))+((1.8900)*((x_0)*(((1.0730)+((1.00000000000000)*(x_0)))**(-1)))))),-0.8237*x_0 + 1.89*x_0/(1.0*x_0 + 1.073) + 0.1884,,false,true,true,true,true,,true,true,true,true,,completed,completed,completed,"mul,mul,1.0,pow,1.0,-1,add,0.1884,add,mul,mul,1.89,div,x_0,1.0,inv,add,1.073,div,x_0,1.0,mul,-1,mul,0.8237,div,x_0,1.0","mul,1.0,mul,1.0,mul,mul,1.0,pow,1.0,-1,add,0.1884,add,mul,mul,1.89,div,mul,1.0,x_0,1.0,inv,add,1.073,div,mul,1.0,x_0,1.0,mul,-1,mul,0.8237,div,mul,1.0,x_0,1.0","add,0.1884,add,mul,-0.8237,x_0,mul,1.8900,mul,x_0,pow,add,1.0730,mul,1.00000000000000,x_0,-1",1.0 * (1.0)**-1 * (0.1884 + 1.89 * x_0 / 1.0 * 1/(1.073 + x_0 / 1.0) + -1 * 0.8237 * x_0 / 1.0),1.0 * 1.0 * 1.0 * (1.0)**-1 * (0.1884 + 1.89 * 1.0 * x_0 / 1.0 * 1/(1.073 + 1.0 * x_0 / 1.0) + -1 * 0.8237 * 1.0 * x_0 / 1.0),0.1884 + -0.8237 * x_0 + 1.8900 * x_0 * (1.0730 + 1.00000000000000 * x_0)**-1,0.1884 + -0.8237 * x_0 + 1.8900 * x_0 * (1.0730 + 1.00000000000000 * x_0)**-1,true,,true,1.0,1.0,0.0,quantization_neutral,true
B1,pair_sha256:6dfe511d5ea7f8ae3546878cd7de63fa07c9adafc7b99415d512e217d7fff56e,component_sha256:f0efd8c918b48fdf9f7a83d181ec939966736373dc117eec6a3a8580d56a76b2,R01_train_d61001_007,0,identity,identity,strict_hill_primary,control,control_pass,false,true,,false,true,true,((0.1997)+(((-0.2548)*(x_0))+((1.3790)*(((x_0)**(2))*(((0.5644)+((1.00000000000000)*((x_0)**(2))))**(-1)))))),1.379*x_0**2/(1.0*x_0**2 + 0.5644) - 0.2548*x_0 + 0.1997,,false,true,true,true,true,,true,true,true,true,,completed,completed,completed,"mul,mul,1.0,pow,1.0,-1,add,0.1997,add,mul,mul,1.379,pow2,div,x_0,1.0,inv,add,0.5644,pow2,div,x_0,1.0,mul,-1,mul,0.2548,div,x_0,1.0","mul,1.0,mul,1.0,mul,mul,1.0,pow,1.0,-1,add,0.1997,add,mul,mul,1.379,pow2,div,mul,1.0,x_0,1.0,inv,add,0.5644,pow2,div,mul,1.0,x_0,1.0,mul,-1,mul,0.2548,div,mul,1.0,x_0,1.0","add,0.1997,add,mul,-0.2548,x_0,mul,1.3790,mul,pow,x_0,2,pow,add,0.5644,mul,1.00000000000000,pow,x_0,2,-1",1.0 * (1.0)**-1 * (0.1997 + 1.379 * (x_0 / 1.0)**2 * 1/(0.5644 + (x_0 / 1.0)**2) + -1 * 0.2548 * x_0 / 1.0),1.0 * 1.0 * 1.0 * (1.0)**-1 * (0.1997 + 1.379 * (1.0 * x_0 / 1.0)**2 * 1/(0.5644 + (1.0 * x_0 / 1.0)**2) + -1 * 0.2548 * 1.0 * x_0 / 1.0),0.1997 + -0.2548 * x_0 + 1.3790 * (x_0)**2 * (0.5644 + 1.00000000000000 * (x_0)**2)**-1,0.1997 + -0.2548 * x_0 + 1.3790 * (x_0)**2 * (0.5644 + 1.00000000000000 * (x_0)**2)**-1,true,,true,1.0,1.0,0.0,quantization_neutral,true
B1,pair_sha256:14d1b44a6f5468ede04c55d6051774a53163e5d7628b29de3267cb2607d77f55,component_sha256:2b8f435c621ec6418f1c3bd309c4aba019c4e4bd8733a728700bc264e8ae5128,R01_train_d61001_008,0,identity,identity,strict_hill_primary,control,control_pass,false,true,,false,true,true,((0.1954)+(((-0.6623)*(x_0))+((1.4310)*(((x_0)**(4))*(((2.7890)+((1.00000000000000)*((x_0)**(4))))**(-1)))))),1.431*x_0**4/(1.0*x_0**4 + 2.789) - 0.6623*x_0 + 0.1954,,false,true,true,true,true,,true,true,true,true,,completed,completed,completed,"mul,mul,1.0,pow,1.0,-1,add,0.1954,add,mul,mul,1.431,pow2,pow2,div,x_0,1.0,inv,add,2.789,pow2,pow2,div,x_0,1.0,mul,-1,mul,0.6623,div,x_0,1.0","mul,1.0,mul,1.0,mul,mul,1.0,pow,1.0,-1,add,0.1954,add,mul,mul,1.431,pow2,pow2,div,mul,1.0,x_0,1.0,inv,add,2.789,pow2,pow2,div,mul,1.0,x_0,1.0,mul,-1,mul,0.6623,div,mul,1.0,x_0,1.0","add,0.1954,add,mul,-0.6623,x_0,mul,1.4310,mul,pow,x_0,4,pow,add,2.7890,mul,1.00000000000000,pow,x_0,4,-1",1.0 * (1.0)**-1 * (0.1954 + 1.431 * ((x_0 / 1.0)**2)**2 * 1/(2.789 + ((x_0 / 1.0)**2)**2) + -1 * 0.6623 * x_0 / 1.0),1.0 * 1.0 * 1.0 * (1.0)**-1 * (0.1954 + 1.431 * ((1.0 * x_0 / 1.0)**2)**2 * 1/(2.789 + ((1.0 * x_0 / 1.0)**2)**2) + -1 * 0.6623 * 1.0 * x_0 / 1.0),0.1954 + -0.6623 * x_0 + 1.4310 * (x_0)**4 * (2.7890 + 1.00000000000000 * (x_0)**4)**-1,0.1954 + -0.6623 * x_0 + 1.4310 * (x_0)**4 * (2.7890 + 1.00000000000000 * (x_0)**4)**-1,true,,true,1.0,1.0,0.0,quantization_neutral,true
B1,pair_sha256:e292a79dc4b7d2a45fa5e2078023fa683584de9f1416f8a426da386f653c6894,component_sha256:c4d876c1e3ff9050148d5fe5e0f0da650992b2508eb64c36b80f658cfd70a470,R01_train_d61001_009,0,identity,identity,strict_hill_primary,control,control_pass,false,true,,false,true,true,((0.0329)+(((-0.5802)*(x_0))+((1.5310)*((x_0)*(((1.3330)+((1.00000000000000)*(x_0)))**(-1)))))),-0.5802*x_0 + 1.531*x_0/(1.0*x_0 + 1.333) + 0.0329,,false,true,true,true,true,,true,true,true,true,,completed,completed,completed,"mul,mul,1.0,pow,1.0,-1,add,0.03288,add,mul,mul,1.531,div,x_0,1.0,inv,add,1.333,div,x_0,1.0,mul,-1,mul,0.5802,div,x_0,1.0","mul,1.0,mul,1.0,mul,mul,1.0,pow,1.0,-1,add,0.03288,add,mul,mul,1.531,div,mul,1.0,x_0,1.0,inv,add,1.333,div,mul,1.0,x_0,1.0,mul,-1,mul,0.5802,div,mul,1.0,x_0,1.0","add,0.0329,add,mul,-0.5802,x_0,mul,1.5310,mul,x_0,pow,add,1.3330,mul,1.00000000000000,x_0,-1",1.0 * (1.0)**-1 * (0.03288 + 1.531 * x_0 / 1.0 * 1/(1.333 + x_0 / 1.0) + -1 * 0.5802 * x_0 / 1.0),1.0 * 1.0 * 1.0 * (1.0)**-1 * (0.03288 + 1.531 * 1.0 * x_0 / 1.0 * 1/(1.333 + 1.0 * x_0 / 1.0) + -1 * 0.5802 * 1.0 * x_0 / 1.0),0.0329 + -0.5802 * x_0 + 1.5310 * x_0 * (1.3330 + 1.00000000000000 * x_0)**-1,0.0329 + -0.5802 * x_0 + 1.5310 * x_0 * (1.3330 + 1.00000000000000 * x_0)**-1,true,,true,0.0,1.0,2.0000000000020002e-05,quantization_active,true
