method,donor,in_donor_mean,in_donor_std,in_donor_count,holdout_mean,holdout_std,holdout_count
pretrained_beam,1,0.5546,0.0008,3,1.0128,0.0311,3
pretrained_beam,10,0.6612,0.0933,3,0.7706,0.0825,3
pretrained_beam,11,0.6711,0.0924,3,0.878,0.127,3
pretrained_beam,2,0.6095,0.1147,3,0.8854,0.0916,3
pysr,1,0.0058,0.0015,3,0.1208,0.0233,3
pysr,10,0.015,0.0047,3,0.087,0.0331,3
pysr,11,0.0064,0.001,3,0.7291,0.2515,3
pysr,2,0.0168,0.002,3,0.0297,0.0034,3
selective_beam,1,0.242,0.0804,3,0.7688,0.0243,3
selective_beam,10,0.1399,0.0117,3,0.4639,0.1553,3
selective_beam,11,0.2978,0.0752,3,0.5791,0.1073,3
selective_beam,2,0.2717,0.0558,3,0.2462,0.0383,3
