layer,template_acc,next_token_acc,n_operators_r2,probe_mean_rank,cka_vs_layer0,grad_norm,iole_raw,ablation_raw,intervention_raw,val_ce_single_layer_ft
encoder_0,0.6875,0.53125,0.539332638097025,10.666666666666666,1.0,2.080671721018691,,,,
encoder_1,0.71875,0.6354166666666666,0.49004736260405185,8.333333333333334,0.9355874579083826,1.9913156270456855,,,,
encoder_2,0.71875,0.6145833333333334,0.4951645091924404,8.666666666666666,0.9742782295084779,1.9172266768870971,,,,
encoder_3,0.78125,0.65625,0.5026597646904015,6.333333333333333,0.9568109015383746,1.106793947815442,,,,
encoder_4,0.7604166666666666,0.6979166666666666,0.6377702928465604,4.666666666666667,0.9646674104384457,1.0096280823996235,3941629.3448642013,111.22551397549306,0.15590880085585254,1.713167945543925
encoder_5,0.71875,0.6458333333333334,0.5482761890493072,7.0,0.9400674194157705,1.0695906610235737,16207491310.512611,0.16993513518341555,0.1298864987346192,1.543299416700999
encoder_pma,0.71875,0.6770833333333334,0.507683293865155,7.333333333333333,0.971573806203172,2.8659696061470576,,,,
decoder_0,1.0,0.6145833333333334,0.9089462433979939,4.333333333333333,,1.6995622298470512,0.799617532213666,416666.99241565046,2648.5051620352747,1.2084749142328899
decoder_1,1.0,0.5625,0.9219748058876364,5.333333333333333,,2.6157335016110403,0.122816271260256,1000000.0,2648.5051620352747,0.8597556352615356
decoder_2,1.0,0.5625,0.9438540234416549,5.666666666666667,,3.1073156138679203,0.07502748586695583,1000000.0,2648.5051620352747,0.6166477104028066
decoder_3,1.0,0.6041666666666666,0.9513869816065195,4.333333333333333,,2.910969130746116,3549803718166282.5,1000000.0,2648.5051620352747,0.4802827338377635
decoder_4,1.0,0.6041666666666666,0.9484658533818416,5.333333333333333,,2.3934731904183835,0.048553280664653774,1000000.0,2668.8874320765335,0.6400811672210693
