problem_id,system,seed,condition,true_formula,predicted_formula,exact,skeleton,symbolic_equivalent,ted_raw,ted_skeleton,exact_as_recorded,ted_raw_as_recorded,fit_error,complexity,valid,failure_reason,search_nodes,candidate_count,wall_time
phase2_kur_unguided,KUR,,unguided_mcts,(omega0+(1.0000*aggr(sin((sour(x)-targ(x)))))),(-0.7865*(-(-0.2508+omega0))),0.0,0.0,0.0,10.0,10.0,0.0,10.0,1.207533330545545,6,True,,3564,25312,300.0486125946045
phase2_kur,KUR,,ndformer_mcts,(omega0+(1.0000*aggr(sin((sour(x)-targ(x)))))),((0.0000+omega0)+(1.0000*aggr(sin((sour(x)-targ(x)))))),1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.7973036854235295e-08,13,True,,2311,11038,288.7552139759064
phase3_KUR_s101_ndformer_mcts,Kuramoto,101,ndformer_mcts,(omega0+(1.0000*aggr(sin((sour(x)-targ(x)))))),((-0.0000+omega0)+(1.0000*aggr(sin((sour(x)-targ(x)))))),1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.879711549061854e-09,13,True,,1411,7535,211.37582421302795
phase3_KUR_s101_unguided_mcts,Kuramoto,101,unguided_mcts,(omega0+(1.0000*aggr(sin((sour(x)-targ(x)))))),(omega0*0.7168),0.0,0.0,0.0,9.0,9.0,0.0,10.0,1.2756436584691846,3,True,,3618,25608,300.20448207855225
phase3_CR_s101_ndformer_mcts,coupled_Rossler,101,ndformer_mcts,((0.5000*aggr(sin((sour(x)-targ(x)))))-(z+(omega*y))),(((0.8374*omega)*(sigmoid(x)-y))-(z*1.2134)),0.0,0.0,0.0,13.0,13.0,0.0,12.0,1.4974444744436035,12,True,,1261,11973,301.59525084495544
phase3_CR_s101_unguided_mcts,coupled_Rossler,101,unguided_mcts,((0.5000*aggr(sin((sour(x)-targ(x)))))-(z+(omega*y))),((-(z-0.0683))-y),0.0,0.0,0.0,13.0,12.0,0.0,12.0,1.5966858187205903,6,True,,5739,41922,300.4459900856018
phase3_HCR_s101_ndformer_mcts,homogeneous_coupled_Rossler,101,ndformer_mcts,((0.5000*aggr(sin((sour(x)-targ(x)))))-(y+z)),((0.1504-z)+(-0.7758*y)),0.0,0.0,0.0,13.0,12.0,0.0,11.0,1.5178979770144931,7,True,,2025,14636,301.7149221897125
phase3_HCR_s101_unguided_mcts,homogeneous_coupled_Rossler,101,unguided_mcts,((0.5000*aggr(sin((sour(x)-targ(x)))))-(y+z)),(-((-(-z))-(-0.7837*y))),0.0,0.0,0.0,11.0,10.0,0.0,13.0,1.5250694239027063,8,True,,4456,32276,300.47385597229004
phase3_FHN_s101_ndformer_mcts,FitzHugh_Nagumo,101,ndformer_mcts,(x-((y+(x**3))+(aggr((sour(x)-targ(x)))/aggr(1)))),(((-4.3513*x)+(6.1830*sin(x)))-(0.8878*(y+-0.3304))),0.0,0.0,0.0,19.0,19.0,0.0,18.0,0.3824479085439161,14,True,,3589,17716,300.4057688713074
phase3_FHN_s101_unguided_mcts,FitzHugh_Nagumo,101,unguided_mcts,(x-((y+(x**3))+(aggr((sour(x)-targ(x)))/aggr(1)))),((-0.7228*y)*(1/2)),0.0,0.0,0.0,18.0,18.0,0.0,15.0,0.7959720060947201,5,True,,3617,25307,300.083505153656
