cells,component_exponent_aware_skeleton_exact_rate,component_exponent_aware_skeleton_exact_system_then_seed_macro,component_valid_rate,components,condition,exact_rate,exact_rate_wilson_95_ci,exact_rate_wilson_95_interval_kind,exact_seed_macro_student_t_95_ci,exact_seed_rates,exact_successes,failure_aware_component_ted_mean,failure_aware_generalization_nrmse_seed_macro_student_t_95_ci,failure_aware_generalization_nrmse_seed_system_macro_means,failure_aware_generalization_nrmse_system_then_seed_macro,failure_aware_ted_seed_macro_student_t_95_ci,failure_aware_ted_seed_system_macro_means,formula_score_vector_without_ce,n_generation_failures,n_selected_trajectory_failures,nontrivial_R03_R08_exact_component_cell_count,reconstruction_r2_median,seed_component_counts,seed_macro_aggregation,stage,uncertainty_caveat,valid_rate,valid_rate_wilson_95_ci,valid_seed_macro_student_t_95_ci,valid_seed_rates,valid_successes,view
960,0.029901960784313727,0.02395833333333333,1.0,2040,frozen,0.029901960784313727,"[0.023349009548887464, 0.03822203759745296]",descriptive_naive_component_interval; repeated corruptions/components are dependent,"[0.019293392763063223, 0.02862327390360344]","[0.0234375, 0.026041666666666664, 0.02239583333333333]",61,0.4791681470787335,"[1.3218199937142712, 1.4934625684368636]","[1.4276252448505842, 1.3677490372581378, 1.4275495611179807]",1.4076412810755674,"[0.46817112505845837, 0.4850625049233116]","[0.47789599717604175, 0.4791915254109303, 0.47276292238568296]","[0.02395833333333333, -0.4766168149908851, 1.0]",0,8,0,0.9358227137192003,"[680, 680, 680]","component/corruption within system, then system within seed",final_test,"Wilson intervals are descriptive naive component intervals, not independent-system inferential intervals, because components and corruptions repeat systems. The n=3 Student-t intervals use system-within-seed macro values, are very wide/unstable, and do not include system-sampling uncertainty because all seeds share the corpus.",1.0,"[0.9981204712312125, 1.0]","[1.0, 1.0]","[1.0, 1.0, 1.0]",2040,main
960,0.07303921568627451,0.059722222222222225,1.0,2040,official_continued_full,0.07303921568627451,"[0.06253256655669362, 0.08515083497037887]",descriptive_naive_component_interval; repeated corruptions/components are dependent,"[0.04715593362184074, 0.07228851082260368]","[0.0609375, 0.0640625, 0.05416666666666666]",149,0.46147034120653424,"[1.3279676045845348, 1.5568266872747218]","[1.389542705839785, 1.4636565382289977, 1.4739921937201028]",1.4423971459296283,"[0.44020834983068635, 0.4780314071983195]","[0.45569205925949746, 0.46784406721689537, 0.45382350906711577]","[0.059722222222222225, -0.4591198785145029, 1.0]",0,21,0,0.9416403898988582,"[680, 680, 680]","component/corruption within system, then system within seed",final_test,"Wilson intervals are descriptive naive component intervals, not independent-system inferential intervals, because components and corruptions repeat systems. The n=3 Student-t intervals use system-within-seed macro values, are very wide/unstable, and do not include system-sampling uncertainty because all seeds share the corpus.",1.0,"[0.9981204712312125, 1.0]","[1.0, 1.0]","[1.0, 1.0, 1.0]",2040,main
960,0.20147058823529412,0.1597222222222222,0.9715686274509804,2040,grn_full,0.20147058823529412,"[0.18463358602641702, 0.21942977967965324]",descriptive_naive_component_interval; repeated corruptions/components are dependent,"[0.11791088964232378, 0.20153355480212065]","[0.17395833333333333, 0.14114583333333333, 0.1640625]",411,0.3686524061512837,"[1.9953409404224485, 2.401093228516871]","[2.246850439356478, 2.1039299556789692, 2.243870858373532]",2.19821708446966,"[0.19100014597779846, 0.5685095480601313]","[0.46645971482382126, 0.3480328270080587, 0.32477199922501476]","[0.1597222222222222, -0.3797548470189649, 0.9642361111111111]",0,205,0,0.22203076988028442,"[680, 680, 680]","component/corruption within system, then system within seed",final_test,"Wilson intervals are descriptive naive component intervals, not independent-system inferential intervals, because components and corruptions repeat systems. The n=3 Student-t intervals use system-within-seed macro values, are very wide/unstable, and do not include system-sampling uncertainty because all seeds share the corpus.",0.9715686274509804,"[0.9634225586413273, 0.97794204265713]","[0.9470067319693223, 0.9814654902528999]","[0.95625, 0.96875, 0.9677083333333334]",1982,main
960,0.13529411764705881,0.109375,0.9911764705882353,2040,grn_top3,0.13529411764705881,"[0.12113522584895062, 0.15082395984122385]",descriptive_naive_component_interval; repeated corruptions/components are dependent,"[0.011274641715015701, 0.2074753582849843]","[0.08229166666666667, 0.09114583333333334, 0.1546875]",276,0.4611131384502525,"[-1.0336454999637827, 5.6155869533999]","[0.839723006227904, 3.4765500174058124, 2.5566391565204603]",2.290970726718059,"[0.449462521815776, 0.4912959008495273]","[0.46067340131268686, 0.4757281340321643, 0.4747360986531037]","[0.109375, -0.47037921133265165, 0.9927083333333333]",0,39,0,0.930643611024329,"[680, 680, 680]","component/corruption within system, then system within seed",final_test,"Wilson intervals are descriptive naive component intervals, not independent-system inferential intervals, because components and corruptions repeat systems. The n=3 Student-t intervals use system-within-seed macro values, are very wide/unstable, and do not include system-sampling uncertainty because all seeds share the corpus.",0.9911764705882353,"[0.9860951646029211, 0.9944114159595053]","[0.9613348238459656, 1.024081842820701]","[1.0, 1.0, 0.978125]",2022,main
960,0.13431372549019607,0.10763888888888888,1.0,2040,grn_random3_0,0.13431372549019607,"[0.12020199320586956, 0.14980009352110646]",descriptive_naive_component_interval; repeated corruptions/components are dependent,"[0.035169471294324586, 0.18010830648345316]","[0.07395833333333333, 0.12395833333333332, 0.125]",274,0.4422260095332133,"[0.8967742630393125, 1.6403966281795108]","[1.441360984702365, 1.1859137005264695, 1.1784816515994005]",1.2685854456094117,"[0.43397061545125487, 0.4635112060385325]","[0.4470222818440389, 0.4553567690219177, 0.4438436813687246]","[0.10763888888888888, -0.4487409107448937, 1.0]",0,3,0,0.8995943791192401,"[680, 680, 680]","component/corruption within system, then system within seed",final_test,"Wilson intervals are descriptive naive component intervals, not independent-system inferential intervals, because components and corruptions repeat systems. The n=3 Student-t intervals use system-within-seed macro values, are very wide/unstable, and do not include system-sampling uncertainty because all seeds share the corpus.",1.0,"[0.9981204712312125, 1.0]","[1.0, 1.0]","[1.0, 1.0, 1.0]",2040,main
240,0.0625,0.06249999999999999,1.0,720,frozen,0.0625,"[0.04703558611408132, 0.08260807780865623]",descriptive_naive_component_interval; repeated corruptions/components are dependent,"[0.05214942620116855, 0.07285057379883145]","[0.0625, 0.06666666666666667, 0.05833333333333333]",45,0.48817282143022617,"[0.785821578169865, 1.0767963634603661]","[0.9078993848260989, 0.8880680173846717, 0.9979595102345762]",0.9313089708151155,"[0.4790760573975027, 0.4972695854629495]","[0.488257577591696, 0.4917916479545405, 0.4844692387444419]","[0.06249999999999999, -0.48817282143022617, 1.0]",0,0,0,0.931395609317485,"[240, 240, 240]","component/corruption within system, then system within seed",final_test,"Wilson intervals are descriptive naive component intervals, not independent-system inferential intervals, because components and corruptions repeat systems. The n=3 Student-t intervals use system-within-seed macro values, are very wide/unstable, and do not include system-sampling uncertainty because all seeds share the corpus.",1.0,"[0.9946929555168715, 1.0]","[1.0, 1.0]","[1.0, 1.0, 1.0]",720,family_holdout
240,0.14305555555555555,0.14305555555555557,1.0,720,official_continued_full,0.14305555555555555,"[0.11937288294533838, 0.17052686825511737]",descriptive_naive_component_interval; repeated corruptions/components are dependent,"[0.11317602271044344, 0.17293508840066765]","[0.15, 0.15, 0.12916666666666665]",103,0.47044190846261275,"[0.5924339595431567, 0.7698843879856225]","[0.6952452801990419, 0.6405472475919923, 0.7076849935021345]",0.6811591737643896,"[0.45041230470090876, 0.49047151222431684]","[0.464035583443248, 0.46779432505004753, 0.4794958168945428]","[0.14305555555555557, -0.4704419084626128, 1.0]",0,0,0,0.953967051425133,"[240, 240, 240]","component/corruption within system, then system within seed",final_test,"Wilson intervals are descriptive naive component intervals, not independent-system inferential intervals, because components and corruptions repeat systems. The n=3 Student-t intervals use system-within-seed macro values, are very wide/unstable, and do not include system-sampling uncertainty because all seeds share the corpus.",1.0,"[0.9946929555168715, 1.0]","[1.0, 1.0]","[1.0, 1.0, 1.0]",720,family_holdout
240,0.1875,0.1875,1.0,720,grn_full,0.1875,"[0.1606760793258498, 0.21764082347610567]",descriptive_naive_component_interval; repeated corruptions/components are dependent,"[0.14238289480323385, 0.23261710519676615]","[0.2, 0.16666666666666666, 0.19583333333333333]",135,0.45672188415870146,"[0.4835822862624544, 0.503018806940807]","[0.49781565590855276, 0.49092022094278365, 0.4911657629535557]",0.4933005466016307,"[0.4509126143457707, 0.46253115397163225]","[0.4541798625735546, 0.45878181266260576, 0.457203977239944]","[0.1875, -0.45672188415870146, 1.0]",0,0,0,0.9641668852629688,"[240, 240, 240]","component/corruption within system, then system within seed",final_test,"Wilson intervals are descriptive naive component intervals, not independent-system inferential intervals, because components and corruptions repeat systems. The n=3 Student-t intervals use system-within-seed macro values, are very wide/unstable, and do not include system-sampling uncertainty because all seeds share the corpus.",1.0,"[0.9946929555168715, 1.0]","[1.0, 1.0]","[1.0, 1.0, 1.0]",720,family_holdout
240,0.05277777777777778,0.05277777777777778,1.0,720,grn_top3,0.05277777777777778,"[0.03869081608585858, 0.07161159592405089]",descriptive_naive_component_interval; repeated corruptions/components are dependent,"[-0.061235253026132745, 0.1667908085816883]","[0.0, 0.075, 0.08333333333333333]",38,0.4914477317325233,"[0.44097287497240195, 0.6339638733049316]","[0.5507727496227539, 0.4937196467414434, 0.567912726051803]",0.5374683741386669,"[0.4412376807358332, 0.5416577827292134]","[0.5146683868675705, 0.48187125726598945, 0.47780355106400985]","[0.05277777777777778, -0.49144773173252326, 1.0]",0,0,0,0.9452958120284591,"[240, 240, 240]","component/corruption within system, then system within seed",final_test,"Wilson intervals are descriptive naive component intervals, not independent-system inferential intervals, because components and corruptions repeat systems. The n=3 Student-t intervals use system-within-seed macro values, are very wide/unstable, and do not include system-sampling uncertainty because all seeds share the corpus.",1.0,"[0.9946929555168715, 1.0]","[1.0, 1.0]","[1.0, 1.0, 1.0]",720,family_holdout
240,0.034722222222222224,0.03472222222222222,1.0,720,grn_random3_0,0.034722222222222224,"[0.023627872772985645, 0.05075507139881459]",descriptive_naive_component_interval; repeated corruptions/components are dependent,"[0.022770409084177375, 0.046674035360267055]","[0.0375, 0.0375, 0.029166666666666664]",25,0.5019550468171464,"[0.7818134406233987, 1.0084487404360505]","[0.842466680316208, 0.9206210764973959, 0.9223055147755698]",0.8951310905297244,"[0.4954835351074482, 0.5084265585268446]","[0.501273385558589, 0.4997585113305096, 0.5048332435623406]","[0.03472222222222222, -0.5019550468171464, 1.0]",0,0,0,0.9178260379648326,"[240, 240, 240]","component/corruption within system, then system within seed",final_test,"Wilson intervals are descriptive naive component intervals, not independent-system inferential intervals, because components and corruptions repeat systems. The n=3 Student-t intervals use system-within-seed macro values, are very wide/unstable, and do not include system-sampling uncertainty because all seeds share the corpus.",1.0,"[0.9946929555168715, 1.0]","[1.0, 1.0]","[1.0, 1.0, 1.0]",720,family_holdout
