affected_cells,denominator,denominator_metric,event_count,layer,metric,missing_candidate_slots,phase,rate,selected,source_sha256,subgroup,unit,value,value_kind
1,120,cells,1,failure_event_summary,beam_shortfall,1,6,0.008333333333333333,False,,family_holdout/frozen,cell,1,count
22,17997,trajectory_slots,65,failure_event_summary,trajectory,0,6,0.003611713063288326,False,,family_holdout/frozen,trajectory,65,count
8,480,cells,8,failure_event_summary,beam_shortfall,9,6,0.016666666666666666,False,,family_holdout/grn_decoder_all,cell,8,count
15,8871,candidates_saved,94,failure_event_summary,ted,0,6,0.010596325104272348,False,,family_holdout/grn_decoder_all,candidate,94,count
5,8871,candidates_saved,8,failure_event_summary,ted,0,6,0.0009018149024912637,True,,family_holdout/grn_decoder_all,candidate,8,count
41,26613,trajectory_slots,498,failure_event_summary,trajectory,0,6,0.018712659226693722,False,,family_holdout/grn_decoder_all,trajectory,498,count
5,26613,trajectory_slots,24,failure_event_summary,trajectory,0,6,0.0009018149024912637,True,,family_holdout/grn_decoder_all,trajectory,24,count
21,480,cells,26,failure_event_summary,beam_shortfall,100,6,0.05416666666666667,False,,family_holdout/grn_full,cell,26,count
7,8780,candidates_saved,7,failure_event_summary,parse,0,6,0.0007972665148063781,True,,family_holdout/grn_full,candidate,7,count
39,8780,candidates_saved,402,failure_event_summary,ted,0,6,0.04578587699316629,False,,family_holdout/grn_full,candidate,402,count
38,8780,candidates_saved,57,failure_event_summary,ted,0,6,0.006492027334851936,True,,family_holdout/grn_full,candidate,57,count
47,26340,trajectory_slots,1349,failure_event_summary,trajectory,0,6,0.05121488230827639,False,,family_holdout/grn_full,trajectory,1349,count
40,26340,trajectory_slots,194,failure_event_summary,trajectory,0,6,0.007365223993925588,True,,family_holdout/grn_full,trajectory,194,count
19,480,cells,22,failure_event_summary,beam_shortfall,47,6,0.04583333333333333,False,,family_holdout/official_continued_full,cell,22,count
5,8833,candidates_saved,17,failure_event_summary,ted,0,6,0.0019246009283369185,False,,family_holdout/official_continued_full,candidate,17,count
45,26499,trajectory_slots,337,failure_event_summary,trajectory,0,6,0.01271746103626552,False,,family_holdout/official_continued_full,trajectory,337,count
9,960,cells,9,failure_event_summary,beam_shortfall,13,6,0.009375,False,,main/frozen,cell,9,count
78,143961,trajectory_slots,655,failure_event_summary,trajectory,0,6,0.00454984336035454,False,,main/frozen,trajectory,655,count
290,1824,cells,311,failure_event_summary,beam_shortfall,4006,6,0.17050438596491227,False,,main/grn_decoder_all,cell,311,count
1,50906,candidates_saved,1,failure_event_summary,parse,0,6,1.9644049817310335e-05,False,,main/grn_decoder_all,candidate,1,count
16,50906,candidates_saved,18,failure_event_summary,parse,0,6,0.0003535928967115861,True,,main/grn_decoder_all,candidate,18,count
12,50906,candidates_saved,99,failure_event_summary,ted,0,6,0.0019447609319137233,False,,main/grn_decoder_all,candidate,99,count
2,50906,candidates_saved,2,failure_event_summary,ted,0,6,3.928809963462067e-05,True,,main/grn_decoder_all,candidate,2,count
199,152718,trajectory_slots,6202,failure_event_summary,trajectory,0,6,0.04061079898898624,False,,main/grn_decoder_all,trajectory,6202,count
27,152718,trajectory_slots,111,failure_event_summary,trajectory,0,6,0.0007268298432404824,True,,main/grn_decoder_all,trajectory,111,count
191,1824,cells,218,failure_event_summary,beam_shortfall,3763,6,0.11951754385964912,False,,main/grn_full,cell,218,count
