category,cell_id,exponent_aware_skeleton_exact,failure_reason,family,generalization_r2_mean,input_r2_mean,normalized_variable_aware_ted,predicted_formula_canonical,predicted_formula_raw,source_path,source_phase,source_sha256,true_formula,valid,variable_to_gene
valid_but_structurally_wrong,R01_validation_d101_000_b0_n0_r0,0.0,,R01,0.9948907734913777,0.9981187753354941,0.3870967741935484,"add,mul,-0.0191,inv,add,12.77,mul,2.664,x_0,mul,0.4372,sin,add,14.42,mul,0.6135,x_0",0.4372 * sin(14.4200 + 0.6135 * x_0) + -0.0191 * (12.7700 + 2.6640 * x_0)**-1,,3,,0.1954 + 0.8878 * x_0 * 1/(0.8392 + x_0) + -1 * 0.3968 * x_0,True,"{""x_0"": ""synthetic_gene_0""}"
valid_but_structurally_wrong,R01_validation_d101_000_b0_n0_r0p5,0.0,,R01,0.9814543962957811,0.9942723815268303,0.5789473684210527,"add,0.5096,mul,-0.243,x_0",0.5096 + -0.2430 * x_0,,3,,0.1954 + 0.8878 * x_0 * 1/(0.8392 + x_0) + -1 * 0.3968 * x_0,True,"{""x_0"": ""synthetic_gene_0""}"
valid_but_structurally_wrong,R01_validation_d101_000_b0_n0p05_r0,0.0,,R01,0.9900770203196967,0.9680707357811041,0.38461538461538464,"add,mul,-0.0629,x_0,mul,0.3787,sin,add,13.77,mul,0.7903,x_0",0.3787 * sin(13.7700 + 0.7903 * x_0) + -0.0629 * x_0,,3,,0.1954 + 0.8878 * x_0 * 1/(0.8392 + x_0) + -1 * 0.3968 * x_0,True,"{""x_0"": ""synthetic_gene_0""}"
valid_but_structurally_wrong,R01_validation_d101_000_b0_n0p05_r0p5,0.0,,R01,0.9939111062747681,0.974826730168762,0.5789473684210527,"add,0.4867,mul,-0.2233,x_0",0.4867 + -0.2233 * x_0,,3,,0.1954 + 0.8878 * x_0 * 1/(0.8392 + x_0) + -1 * 0.3968 * x_0,True,"{""x_0"": ""synthetic_gene_0""}"
valid_but_structurally_wrong,R01_validation_d101_000_b1_n0_r0,0.0,,R01,0.9939647756760152,0.9987504025419529,0.38461538461538464,"add,mul,-0.1437,x_0,mul,0.4444,sin,add,14.11,mul,0.3776,x_0",0.4444 * sin(14.1100 + 0.3776 * x_0) + -0.1437 * x_0,,3,,0.1954 + 0.8878 * x_0 * 1/(0.8392 + x_0) + -1 * 0.3968 * x_0,True,"{""x_0"": ""synthetic_gene_0""}"
generation_or_evaluation_failure,odebench_20|n0.05|r0.0,False,NaN,ODEBench,,0.9806193773583197,0.3939393939393939,"add,mul,-0.0373,sin,add,0.1544,mul,23.2,x_0,mul,5.454,pow,add,0.2049,neg,x_0,2",5.4542 * (0.2049 + -1 * x_0)**2 + -0.0373 * sin(0.1544 + 23.2011 * x_0),,1,,c_0 - c_1 * x_0 + x_0^2 / (1 + x_0^2),True,
generation_or_evaluation_failure,odebench_21|n0.0|r0.0,False,CandidateIntegrationFailure,ODEBench,0.9289736852152245,,0.5,"mul,mul,0.9,add,mul,-0.0504,x_0,mul,1.018,inv,x_0,x_0",0.9000 * x_0 * (1.0180 * (x_0)**-1 + -0.0504 * x_0),,1,,c_0 - c_1 * x_0 - exp(-x_0),False,
generation_or_evaluation_failure,odebench_21|n0.0|r0.5,False,CandidateIntegrationFailure,ODEBench,,,0.5384615384615384,"add,mul,9.341,x_0,mul,mul,-9.736,add,mul,0.1553,x_0,mul,1.108,inv,x_0,x_0",9.3411 * x_0 + -9.7360 * x_0 * (0.1553 * x_0 + 1.1080 * (x_0)**-1),,1,,c_0 - c_1 * x_0 - exp(-x_0),False,
generation_or_evaluation_failure,odebench_21|n0.05|r0.0,False,CandidateIntegrationFailure,ODEBench,-7.156324192328659,,0.6410256410256411,"add,mul,1.139,x_0,mul,mul,-10.85,add,mul,0.051,x_0,mul,mul,11.72,add,mul,0.0532,inv,add,-0.1065,mul,-1.226,x_0,mul,0.1013,inv,x_0,x_0,x_0",1.1385 * x_0 + -10.8540 * x_0 * (0.0510 * x_0 + 11.7200 * x_0 * (0.0532 * (-0.1065 + -1.2260 * x_0)**-1 + 0.1013 * (x_0)**-1)),,1,,c_0 - c_1 * x_0 - exp(-x_0),False,
generation_or_evaluation_failure,odebench_21|n0.05|r0.5,False,CandidateIntegrationFailure,ODEBench,,,0.5384615384615384,"add,mul,9.252,x_0,mul,mul,-9.414,add,mul,0.1105,x_0,mul,1.254,inv,x_0,x_0",9.2520 * x_0 + -9.4140 * x_0 * (0.1105 * x_0 + 1.2540 * (x_0)**-1),,1,,c_0 - c_1 * x_0 - exp(-x_0),False,
